Tournament ID,Tournament Name,Location,Start Date,End Date,Registration Opens,Registration Closes,Late Registration,Entry Fee,Max Teams (Open),12,13,14,15,16,17,18
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37945"", ""37945"")","FALL NETFEST BOYS - 12u, 14u, 16u","=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=6417+MARLBORO+PIKE,+DISTRICT+HEIGHTS,+MD+20747"", ""ATHLETIC REPUBLIC "")",2024-11-16,2024-11-16,2024-08-01,2024-10-26,2024-08-07,300.0,N/A,1/8,,1/8,,0/8,,
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37337"", ""37337"")",2024 AAU/JVA Brickyard Battle,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=100+South+Capitol+Ave,+Indianapolis,+IN+46225"", ""Indiana Convention Center"")",2024-11-23,2024-11-25,2024-08-01,2024-10-22,2024-10-21,775.0,64,14/12,30/24,19/16,34/24,57/44,48/40,59/48
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37459"", ""37459"")",AAU Blizzard Blast and Boys ECPL Grand Prix 2025,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=1045+19th+St.,+Virginia+Beach,+VA+23451"", ""Virginia Beach Sports Center"")",2025-01-25,2025-01-26,2024-08-01,2025-01-15,2025-01-15,600.0,8,10/8,22/20,20/20,28/24,28/24,14/12,9/8
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37585"", ""37585"")",2025 Boys Chesapeake Showdown (Dec 7-8),"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=8221+Preston+Court,+Jessup,+MD+20794"", ""Maryland Juniors Sports Center"")",2024-12-07,2024-12-08,2024-09-01,2024-12-06,2024-10-18,575.0,N/A,,,10/20,,9/20,,11/20
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37327"", ""37327"")",2024 AAU/JVA Chi-Town Boys Challenge,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=2301+S+Lake+Shore+Dr,+Chicago,+IL+60616"", ""McCormick Place-West Building"")",2024-12-07,2024-12-08,2024-08-01,2024-11-12,2024-11-12,550.0,40,,24/12,16/12,33/24,48/40,19/16,28/28
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37336"", ""37336"")",2024 AAU/JVA  Snowball Slam,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=2913+Spooky+Nook+Rd,+Manheim,+PA+17545"", ""Spooky Nook Sports Lancaster"")",2024-12-14,2024-12-15,2024-08-01,2024-12-02,2024-12-02,550.0,28,,,13/12,11/12,16/16,21/20,26/28
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37284"", ""37284"")",2024 Rust Bucket AAU Volleyball,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=2300+N+Cameron+St,+Harrisburg,+PA+17110"", ""Pennsylvania Farm Show Complex & Expo Center"")",2024-12-14,2024-12-15,2024-07-01,2024-12-02,2024-12-02,475.0,24,,,20/24,18/24,28/24,21/24,20/32
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37188"", ""37188"")",2024 BOYS Holiday Classic,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=75+Champ+Blvd.,+Manheim,+PA+17545"", ""Spooky Nook Sports"")",2024-12-28,2024-12-28,2024-09-01,2024-12-21,2024-12-21,175.0,N/A,,,2/5,,5/8,,14/14
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/36841"", ""36841"")",2025 AAU Rocky Mount Super Regional Girls and Boys,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=285+NE+Main+St,+Rocky+Mount,+NC+27801"", "" Rocky Mount  Events Center"")",2025-01-11,2025-01-12,2024-08-01,2025-01-04,2024-12-27,500.0,N/A,,,15/12,16/12,9/8,,10/12
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37330"", ""37330"")",2025 AAU/JVA Brew City Battle ,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=400+W+Wisconsin+Ave,+Milwaukee,+WI+53203"", ""Wisconsin Center"")",2025-01-25,2025-01-26,2024-08-01,2024-12-27,2024-12-27,550.0,32,12/8,24/16,17/16,26/20,43/31,22/17,29/24
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/36790"", ""36790"")",2025 Nike Steel City Freeze,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=1000+Fort+Duquesne+Blvd,+Pittsburgh,+PA+15222"", ""David L. Lawrence Convention Center"")",2025-02-01,2025-02-02,2024-08-01,2025-01-24,2025-01-01,525.0,8,19/24,12/12,17/16,49/48,25/24,23/24,9/8
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37225"", ""37225"")",2025 Boys Atlantic Northeastern Qualifier,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=75+Champ+Blvd.,+Manheim,+PA+17545"", ""Spooky Nook Sports"")",2025-02-15,2025-02-17,2024-09-01,2025-02-01,2025-02-01,750.0,N/A,,,8/12,5/16,15/16,10/20,21/24
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37491"", ""37491"")",The St. James & Boys ECPL AAU Grand Prix 2025,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=6805+Industrial+Rd.+(TSJ),+Springfield,+VA+(TSJ)+|+Rockville,+MD+(MSSC),+VA+22151"", ""The St. James Sports Complex (TSJ) | Michael and Son's Sports Complex (MSSC)"")",2025-02-22,2025-02-23,2024-08-01,2025-02-12,2025-02-08,600.0,16,9/8,11/8,18/16,19/16,20/16,16/12,29/24
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37586"", ""37586"")",2025 CHRVA Boys Regional Championships,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=8221+Preston+Ct.,+Jessup,+MD+20794"", ""Maryland Juniors Sports Center"")",2025-03-01,2025-03-01,2024-09-01,2025-02-21,2025-02-21,300.0,N/A,3/8,,13/10,,22/20,7/5,15/20
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37595"", ""37595"")",The Carolina Crown 2025 (was Battle of the Bros),"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=500+South+Salisbury+St.,+Raleigh,+NC+27601"", ""Raleigh Convention Center"")",2025-03-01,2025-03-02,2024-09-03,2025-02-15,2025-02-15,500.0,16,,,9/24,,6/16,,9/16
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/39412"", ""39412"")","Vienna Elite 12 Mixed (Mar 16, Priority 2)","=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=60+Southlawn+Ct,+Rockville,+MD+20850"", ""Rockville Sports Arena"")",2025-03-16,2025-03-16,2024-09-15,2025-03-14,2025-01-24,380.0,N/A,2/12,,,,,,
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37620"", ""37620"")",2025 Virginia Beach Spring Fling,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=1045+19th+Street,+Virginia+Beach,+VA+23451"", ""Virginia Beach Sports Center"")",2025-04-05,2025-04-06,2024-08-01,2025-03-31,2024-12-01,425.0,24,9/8,24/24,10/12,31/32,4/8,7/8,18/16
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/36843"", ""36843"")",2025 AAU Rocky Mount Grand Prix and Boys ECPL,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=285+NE+Main+St,+Rocky+Mount,+NC+27801"", "" Rocky Mount  Events Center"")",2025-04-19,2025-04-20,2024-08-01,2025-03-21,2025-03-21,500.0,16,6/8,1/12,2/12,5/10,13/16,10/16,6/16
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/39040"", ""39040"")",Hagerstown Takedown,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=290+E+Memorial+Blvd,+Hagerstown,+MD+21740"", ""Hagerstown Field House"")",2025-04-26,2025-04-27,2024-08-30,2025-01-07,2025-01-01,425.0,12,,,2/8,,3/16,,3/12
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37631"", ""37631"")",2025 CHRVA Boys Final Four Showdown (May 3-4),"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=6805+Industrial+RD,+Springfield,+VA+22151"", ""The St. James Sports Complex"")",2025-05-03,2025-05-04,2024-09-01,2025-03-07,2025-03-07,600.0,N/A,,,11/16,,13/20,,17/20
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/39530"", ""39530"")","MDJRS 13M, 14M, 16M, 18M  (May 11, P1)","=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=8221+Preston+Court,+Jessup,+MD+20794"", ""Maryland Juniors Sports Center"")",2025-05-11,2025-05-11,2024-09-15,2025-05-09,2025-03-21,340.0,N/A,,7/8,11/16,,7/8,,0/8
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37488"", ""37488"")",ACPL & Boys ECPL Championship Grand Prix 2025,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=11000+Telegraph+Road,+Glen+Allen,+VA+23060"", ""Henrico Sports & Events Center"")",2025-05-10,2025-05-11,2024-08-01,2025-04-30,2025-04-26,600.0,8,,12/12,20/20,29/28,26/24,21/24,6/8
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/40792"", ""40792"")",2025 Norcal Boys Memorial Day Tournament ,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=11327+Folsom+Blvd,+Rancho+Cordova,+CA+95742"", ""Various Locations"")",2025-05-24,2025-05-26,2025-02-01,2025-05-09,2025-05-02,550.0,24,,,0/16,,0/24,,0/24
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/37110"", ""37110"")",2025 Summer Rumble,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=1+West+Pratt+St,+Baltimore,+MD+21201"", ""Baltimore Convention Center"")",2025-06-14,2025-06-15,2024-08-01,2025-06-07,2025-06-07,595.0,N/A,0/12,6/16,21/16,22/16,13/12,21/16,1/12
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/39788"", ""39788"")",2025 AAU/JVA Windy City Round-Up,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=2301+S+Lake+Shore+Dr,+Chicago,+IL+60616"", ""McCormick Place"")",2025-06-20,2025-06-22,2024-09-17,2025-06-13,2025-06-13,775.0,64,2/12,8/24,11/20,14/32,29/44,21/36,19/52
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/40313"", ""40313"")",AAU Boys National Volleyball Championships-Wave 1,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=9800+International+Drive,+Orlando,+FL+32819"", ""Orange County Convention Center"")",2025-06-30,2025-07-03,2024-12-01,2025-05-30,2025-02-28,895.0,48,16/24,32/48,,,80/100,,29/80
"=HYPERLINK(""https://aes2.advancedeventsystems.com/events/40314"", ""40314"")",AAU Boys National Volleyball Championships-Wave 2,"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=9800+International+Drive,+Orlando,+FL+32819"", ""Orange County Convention Center"")",2025-07-04,2025-07-07,2024-12-01,2025-05-30,2025-02-28,895.0,48,,,51/80,46/80,,73/88,
